City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,52.83,75,100,8.01,NZ,1701285257
1,ust-nera,64.5667,143.2,-14.58,99,74,5.91,RU,1701285111
2,nova sintra,14.8667,-24.7167,71.04,71,2,13.33,CV,1701285259
3,west island,-12.1568,96.8225,76.98,78,38,6.91,CC,1701285260
4,albany,42.6001,-73.9662,34.34,55,100,1.99,US,1701285237
5,bilibino,68.0546,166.4372,-31.16,99,38,3.36,RU,1701285261
6,whitehorse,60.7161,-135.0538,14.09,84,75,17.27,CA,1701285263
7,adamstown,-25.066,-130.1015,71.13,76,100,6.58,PN,1701285264
8,malanje,-9.5402,16.341,64.69,98,97,4.16,AO,1701285264
9,bethel,41.3712,-73.414,38.21,52,20,9.22,US,1701285265
10,choma,-16.8065,26.9531,71.55,56,86,3.87,ZM,1701285266
11,gadzhiyevo,69.2551,33.3362,27.97,89,100,12.64,RU,1701285267
12,longyearbyen,78.2186,15.6401,30.04,80,100,16.11,SJ,1701285268
13,ushuaia,-54.8,-68.3,49.62,53,75,11.5,AR,1701285081
14,blackmans bay,-43.0167,147.3167,53.73,83,100,6.76,AU,1701285270
15,raduzhny,62.0961,77.475,10.13,94,30,4.0,RU,1701285271
16,urumqi,43.801,87.6005,27.55,93,75,2.24,CN,1701285271
17,la ronge,55.1001,-105.2842,28.65,74,75,18.41,CA,1701285271
18,grytviken,-54.2811,-36.5092,34.72,99,100,1.32,GS,1701285272
19,bredasdorp,-34.5322,20.0403,63.9,72,41,17.63,ZA,1701285272
20,kodiak,57.79,-152.4072,35.11,93,100,11.5,US,1701285171
21,tazovsky,67.4667,78.7,6.87,93,100,8.21,RU,1701285272
22,lazaro cardenas,17.9583,-102.2,84.96,66,35,6.08,MX,1701285167
23,acarau,-2.8856,-40.12,85.46,62,23,16.96,BR,1701285178
24,puerto natales,-51.7236,-72.4875,50.45,50,75,19.57,CL,1701285273
25,lebu,-37.6167,-73.65,59.04,71,1,14.43,CL,1701285273
26,invercargill,-46.4,168.35,47.01,91,100,8.01,NZ,1701285274
27,thompson,55.7435,-97.8558,3.36,78,75,6.91,CA,1701285274
28,betio village,1.358,172.9211,80.64,68,100,2.3,KI,1701285274
29,port-aux-francais,-49.35,70.2167,39.18,97,100,27.92,TF,1701285275
30,mweka,-4.85,21.5667,68.77,96,100,2.33,CD,1701285275
31,al mijlad,11.0333,27.7333,87.64,23,100,9.84,SD,1701285275
32,nar'yan-mar,67.6713,53.087,8.11,93,92,10.0,RU,1701285276
33,ad diwaniyah,31.9905,44.9306,57.83,42,0,10.71,IQ,1701285276
34,yellowknife,62.456,-114.3525,13.41,92,75,6.91,CA,1701285248
35,petauke,-14.2426,31.3253,70.93,74,100,6.31,ZM,1701285276
36,dingzhou,38.5131,114.9956,21.31,28,0,4.79,CN,1701285277
37,tiksi,71.6872,128.8694,14.76,89,100,24.09,RU,1701285215
38,daru,-9.0763,143.2092,79.38,84,61,6.38,PG,1701285277
39,malango,-2.9627,119.9001,67.77,97,100,2.17,ID,1701285277
40,college,64.8569,-147.8028,19.72,88,75,3.44,US,1701285277
41,gizo,-8.103,156.8419,81.66,82,19,6.71,SB,1701285278
42,edinburgh of the seven seas,-37.0676,-12.3116,54.68,70,67,23.98,SH,1701285278
43,sumbawa besar,-8.5,117.4333,75.4,93,93,3.22,ID,1701285278
44,jamestown,42.097,-79.2353,27.99,55,100,13.8,US,1701285233
45,hermanus,-34.4187,19.2345,65.19,66,70,15.88,ZA,1701285279
46,susuman,62.7833,148.1667,-5.22,100,100,1.03,RU,1701285279
47,cartagena,10.3997,-75.5144,87.42,74,40,6.91,CO,1701285223
48,boda,4.3189,17.4695,73.47,85,91,4.36,CF,1701285279
49,mbanza kongo,-6.267,14.2401,70.02,91,22,1.72,AO,1701285280
50,kapa'a,22.0752,-159.319,72.48,92,100,8.05,US,1701285280
51,swift current,50.2834,-107.8014,34.61,69,0,13.8,CA,1701285272
52,amble,55.3333,-1.5833,38.3,87,100,13.8,GB,1701285281
53,polyarnyy,69.1989,33.4478,26.85,90,98,11.36,RU,1701285281
54,valparaiso,-33.0393,-71.6273,80.83,45,0,19.57,CL,1701285261
55,saipan,15.1355,145.701,81.3,78,40,19.57,MP,1701285281
56,kirensk,57.7853,108.1119,2.97,87,100,5.01,RU,1701285281
57,mount pearl,47.5166,-52.7813,37.06,93,100,14.97,CA,1701285282
58,tamiahua,21.2667,-97.45,64.58,90,100,6.67,MX,1701285282
59,margaret river,-33.95,115.0667,62.78,81,100,9.73,AU,1701285282
60,aasiaat,68.7098,-52.8699,29.05,68,100,26.37,GL,1701285283
61,qaqortoq,60.7167,-46.0333,31.91,65,100,16.2,GL,1701285283
62,isafjordur,66.0755,-23.124,36.97,94,100,5.17,IS,1701285284
63,naze,28.3667,129.4833,58.12,65,55,4.83,JP,1701285284
64,constantia,44.1833,28.65,41.7,81,100,15.03,RO,1701285226
65,fada,9.5667,8.3,75.85,37,54,2.53,NG,1701285289
66,diawara,15.022,-12.5437,87.53,13,0,7.43,SN,1701285290
67,hamilton,39.1834,-84.5333,46.65,52,0,14.97,US,1701285290
68,christchurch,-43.5333,172.6333,55.33,86,100,3.44,NZ,1701285025
69,san-pedro,4.7485,-6.6363,79.43,84,38,5.26,CI,1701285291
70,pedernales,18.0384,-71.744,84.27,62,12,2.44,DO,1701285291
71,port lincoln,-34.7333,135.8667,60.03,86,100,14.52,AU,1701285291
72,kenai,60.5544,-151.2583,36.14,89,100,18.41,US,1701285291
73,wuyang,31.9925,116.2472,42.01,33,99,10.38,CN,1701285292
74,portland,45.5234,-122.6762,42.49,71,75,7.0,US,1701285292
75,kingston,17.997,-76.7936,88.25,75,93,1.99,JM,1701285109
76,harper,4.375,-7.7169,77.7,86,100,3.09,LR,1701285038
77,lompoc,34.6391,-120.4579,67.01,70,75,3.44,US,1701285293
78,ulsteinvik,62.3432,5.8487,33.75,69,75,5.01,NO,1701285293
79,xinyuan,37.3,99.0,15.82,49,26,6.35,CN,1701285293
80,winchester,51.0651,-1.3187,39.51,91,20,5.75,GB,1701285022
81,fort bragg,35.139,-79.006,49.91,28,0,8.05,US,1701285294
82,tsiombe,-25.3,45.4833,75.78,88,18,4.14,MG,1701285294
83,bereznik,62.8551,42.7072,5.43,98,68,3.27,RU,1701285294
84,olonkinbyen,70.9221,-8.7187,29.52,95,95,16.69,SJ,1701285294
85,puerto ayora,-0.7393,-90.3518,82.36,84,87,7.0,EC,1701285294
86,touros,-5.1989,-35.4608,82.04,67,85,16.04,BR,1701285295
87,eten,-6.9081,-79.8642,77.25,61,0,19.57,PE,1701285295
88,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,65,75,8.01,RU,1701285295
89,palapye,-22.546,27.1251,78.73,45,81,15.08,BW,1701285295
90,avarua,-21.2078,-159.775,77.05,78,40,20.71,CK,1701285296
91,rosarito,32.3333,-117.0333,67.12,60,4,6.71,MX,1701285296
92,tuzha,57.6062,47.936,3.33,100,82,2.98,RU,1701285296
93,port mathurin,-19.6833,63.4167,77.22,70,0,12.3,MU,1701285296
94,namibe,-15.1961,12.1522,75.16,78,99,3.13,AO,1701285297
95,ron,15.6667,75.7333,76.23,70,77,9.55,IN,1701285297
96,winterset,41.3308,-94.0138,52.83,49,85,8.25,US,1701285297
97,chonchi,-42.6128,-73.8092,58.21,88,100,6.82,CL,1701285297
98,tura,25.5198,90.2201,64.26,86,0,3.31,IN,1701285298
99,amalapuram,16.5833,82.0167,75.34,81,100,5.1,IN,1701285298
100,vorgashor,67.5833,63.95,13.24,96,88,5.06,RU,1701285298
101,talnakh,69.4865,88.3972,-12.51,98,80,4.36,RU,1701285298
102,san pedro pochutla,15.7333,-96.4667,89.31,55,100,8.25,MX,1701285298
103,quellon,-43.1167,-73.6167,52.5,91,100,11.74,CL,1701285299
104,hawaiian paradise park,19.5933,-154.9731,75.04,98,100,1.01,US,1701285299
105,nova borova,50.693,28.6345,24.3,87,100,22.66,UA,1701285300
106,alofi,-19.0595,-169.9187,80.49,78,69,9.22,NU,1701285300
107,puerto ayacucho,5.6639,-67.6236,91.87,51,74,6.13,VE,1701285301
108,balsas,-7.5325,-46.0356,97.52,28,21,8.68,BR,1701285301
109,udachny,66.4167,112.4,5.45,91,100,27.47,RU,1701285301
110,katsuura,35.1333,140.3,56.53,55,100,32.44,JP,1701285301
111,mersa matruh,31.3525,27.2453,64.76,45,100,9.48,EG,1701285302
112,altay,47.8667,88.1167,25.65,49,38,8.34,CN,1701285302
113,diu,20.7141,70.9822,71.83,59,0,8.66,IN,1701285303
114,codrington,-38.2667,141.9667,55.94,86,100,14.76,AU,1701285303
115,minas de marcona,-15.2119,-75.1103,68.65,56,31,15.9,PE,1701285303
116,kivsharivka,49.6213,37.7036,37.47,89,74,13.67,UA,1701285304
117,changsu,35.6484,127.5152,23.9,78,88,5.35,KR,1701285304
118,sinop,41.7711,34.8709,46.36,76,100,10.31,TR,1701285304
119,itati,-27.2704,-58.2446,94.71,53,16,5.26,AR,1701285305
120,hadibu,12.65,54.0333,78.66,72,42,14.88,YE,1701285305
121,colonia,50.9333,6.95,36.97,87,20,5.75,DE,1701285023
122,kertih,4.5141,103.4483,78.82,94,100,2.3,MY,1701285306
123,bandarbeyla,9.4942,50.8122,80.02,76,62,20.69,SO,1701285306
124,walvis bay,-22.9575,14.5053,63.09,76,13,5.01,NA,1701285306
125,taoudenni,22.6783,-3.9836,73.36,12,0,7.58,ML,1701285307
126,port elizabeth,-33.918,25.5701,62.31,78,20,5.75,ZA,1701285307
127,sitka,57.0531,-135.33,42.69,56,100,19.57,US,1701285307
128,rauna,57.3322,25.6067,17.65,95,100,9.24,LV,1701285308
129,pisco,-13.7,-76.2167,70.02,78,27,10.36,PE,1701285308
130,oberviechtach,49.4667,12.4167,31.24,97,100,7.72,DE,1701285308
131,saint-philippe,-21.3585,55.7679,74.79,82,54,8.55,RE,1701285308
132,fort dodge,42.4975,-94.168,48.2,57,0,9.22,US,1701285309
133,east ballina,-28.8667,153.5833,68.49,83,0,10.33,AU,1701285309
134,afaahiti,-17.75,-149.2833,84.07,87,97,20.22,PF,1701285310
